driver1	18/01/2017 11:22	18/01/2017 15:52	270.000000	Sug-Driving	1.000000	4.000000	ndd	first	uninterrupted	A	yes	barcelona cordoba
driver1	18/01/2017 15:52	18/01/2017 16:37	45.000000	Sug-Break	1.000000	4.000000	ndd	first	uninterrupted	B_T1	yes
driver1	18/01/2017 16:37	18/01/2017 16:45	8.000000	Sug-Driving	1.000000	4.000000	ndd	second	uninterrupted	A	yes	barcelona cordoba
driver1	18/01/2017 16:45	18/01/2017 16:48	3.000000	Sug-Unload	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box20
driver1	18/01/2017 16:48	18/01/2017 16:51	3.000000	Sug-Unload	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box19
driver1	18/01/2017 16:51	18/01/2017 16:54	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box25
driver1	18/01/2017 16:54	18/01/2017 19:50	176.000000	Sug-Driving	1.000000	4.000000	ndd	second	uninterrupted	A	yes	cordoba gibraltar
driver1	18/01/2017 19:50	18/01/2017 19:53	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box21
driver1	18/01/2017 19:53	18/01/2017 19:56	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box10
driver1	18/01/2017 19:56	18/01/2017 19:59	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box11
driver1	18/01/2017 19:59	18/01/2017 20:02	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box12
driver1	18/01/2017 20:02	18/01/2017 21:22	80.000000	Sug-Driving	1.000000	4.000000	ndd	second	uninterrupted	A	yes	gibraltar malaga
driver1	18/01/2017 21:22	18/01/2017 21:25	3.000000	Sug-Unload	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box21
driver1	18/01/2017 21:25	18/01/2017 21:28	3.000000	Sug-Load	1.000000	4.000000	ndd	second	uninterrupted	A	yes	box23
driver1	18/01/2017 21:28	18/01/2017 21:33	5.000000	Sug-Driving	1.000000	4.000000	ndd	second	uninterrupted	A	yes	malaga sevilla
driver1	18/01/2017 21:33	19/01/2017 08:33	660.000000	Sug-Break	1.000000	4.000000	ndd	second	uninterrupted	DR_T1	yes
