Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver168,16,Driving,2.0,10,edd,first,split_2,A,1,no
driver168,4,Other,2.0,10,edd,first,split_2,A,1,no
driver168,36,Break,2.0,10,edd,first,split_2,B_T3,1,no
driver168,3,Driving,2.0,10,edd,second,uninterrupted,A,1,no
driver168,69,Break,2.0,10,edd,second,uninterrupted,B_T1,1,no
driver168,1,Driving,2.0,10,edd,third,split_1,A,1,no
driver168,7,Other,2.0,10,edd,third,split_1,A,1,no
driver168,89,Driving,2.0,10,edd,third,split_1,A,1,no
driver168,2,Other,2.0,10,edd,third,split_1,A,1,no
driver168,132,Driving,2.0,10,edd,third,split_1,A,1,no
driver168,69,Break,2.0,10,edd,third,split_1,B_T2,1,no
driver168,118,Driving,2.0,10,edd,third,split_2,A,1,no
driver168,24,Other,2.0,10,edd,third,split_2,A,1,no
driver168,3483,Break,2.0,10,edd,third,split_2,WR_T1,1,no
driver168,34,Driving,3.0,11,edd,first,uninterrupted,A,1,no
driver168,2,Other,3.0,11,edd,first,uninterrupted,A,1,no
driver168,4,Driving,3.0,11,edd,first,uninterrupted,A,1,no
driver168,105,Break,3.0,11,edd,first,uninterrupted,B_T1,1,no
driver168,2,Driving,3.0,11,edd,second,split_1,A,1,no
driver168,103,Break,3.0,11,edd,second,split_1,B_T2,1,no
driver168,32,Driving,3.0,11,edd,second,split_2,A,1,no
driver168,4,Other,3.0,11,edd,second,split_2,A,1,no
driver168,226,Driving,3.0,11,edd,second,split_2,A,1,no
driver168,65,Break,3.0,11,edd,second,split_2,B_T3,1,no
driver168,119,Driving,3.0,11,edd,third,split_1,A,1,no
driver168,18,Break,3.0,11,edd,third,split_1,B_T2,1,no
driver168,1,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,13,Other,3.0,11,edd,third,split_2,A,1,no
driver168,2,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,3,Break,3.0,11,edd,third,split_2,B_T0,1,no
driver168,1,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,10,Other,3.0,11,edd,third,split_2,A,1,no
driver168,1,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,2,Other,3.0,11,edd,third,split_2,A,1,no
driver168,96,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,2,Other,3.0,11,edd,third,split_2,A,1,no
driver168,2,Driving,3.0,11,edd,third,split_2,A,1,no
driver168,543,Break,3.0,11,edd,third,split_2,DR_T2,1,no
driver168,248,Driving,3.0,12,ndd,first,uninterrupted,A,1,no
driver168,47,Break,3.0,12,ndd,first,uninterrupted,B_T1,1,no
driver168,243,Driving,3.0,12,ndd,second,uninterrupted,A,1,no
driver168,2,Other,3.0,12,ndd,second,uninterrupted,A,1,no
driver168,1,Driving,3.0,12,ndd,second,uninterrupted,A,1,no
driver168,3,Other,3.0,12,ndd,second,uninterrupted,A,1,no
driver168,543,Break,3.0,12,ndd,second,uninterrupted,DR_T2,1,no
driver168,139,Driving,3.0,13,ndd,first,split_1,A,1,no
driver168,1,Other,3.0,13,ndd,first,split_1,A,1,no
driver168,28,Break,3.0,13,ndd,first,split_1,B_T2,1,no
driver168,97,Driving,3.0,13,ndd,first,split_2,A,1,no
driver168,34,Break,3.0,13,ndd,first,split_2,B_T3,1,no
driver168,212,Driving,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,6,Other,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,1,Driving,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,10,Other,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,2,Driving,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,2,Other,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,3,Driving,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,5,Other,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,1,Driving,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,5,Other,3.0,13,ndd,second,uninterrupted,A,1,no
driver168,1891,Break,3.0,13,ndd,second,uninterrupted,WR_T2,1,no
