Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver3,Driving,8.0,none,none,uninterrupted,A,0,0
driver3,Break,8.0,none,none,uninterrupted,B_T1,0,0
driver3,Driving,8.0,ndd,first,split_1,A,1,0
driver3,Break,8.0,ndd,first,split_1,B_T2,1,0
driver3,Driving,8.0,ndd,first,split_2,A,1,0
driver3,Break,8.0,ndd,first,split_2,B_T3,1,0
driver3,Driving,8.0,ndd,second,uninterrupted,A,1,0
driver3,Other,8.0,ndd,second,uninterrupted,A,1,0
driver3,Break,8.0,ndd,second,uninterrupted,DR_T2,1,0
driver3,Other,9.0,ndd,first,split_1,A,1,6
driver3,Driving,9.0,ndd,first,split_1,A,1,6
driver3,Break,9.0,ndd,first,split_1,B_T2,1,6
driver3,Driving,9.0,ndd,first,split_2,A,1,6
driver3,Break,9.0,ndd,first,split_2,B_T3,1,6
driver3,Driving,9.0,ndd,second,split_1,A,1,6
driver3,Break,9.0,ndd,second,split_1,B_T2,1,6
driver3,Driving,9.0,ndd,second,split_2,A,1,6
driver3,Other,9.0,ndd,second,split_2,A,1,6
driver3,Driving,9.0,ndd,second,split_2,A,1,6
driver3,Break,9.0,ndd,second,split_2,DR_T3,1,6
driver3,Driving,10.0,ndd,unique,split_1,A,1,10
driver3,Break,10.0,ndd,unique,split_1,B_T2,1,10
driver3,Driving,10.0,ndd,unique,split_2,A,1,10
driver3,Break,10.0,ndd,unique,split_2,DR_T4,1,10
driver3,Driving,11.0,ndd,first,uninterrupted,A,1,9
driver3,Sug-Break,11.0,ndd,first,uninterrupted,B_T1,1,9
driver3,Sug-Break,11.0,ndd,second,uninterrupted,DR_T1,1,9
